19760001,8,19760001_28(love****),15604,love****,19760001_28,감각의 제국,"드라마,성인물(에로)",    너무나도 슬픈 영화....     
19760001,1,ㅇㅇ(dkss****),5207789,dkss****,ㅇㅇ,감각의 제국,"드라마,성인물(에로)",    남녀가 섹스만하다가 파멸하는 얘기 둘 다 제정신이 아니다.. 이름값때문에 봤지만 머리가 멍해지고 괜히 봤다ㅠ     
19760001,10,바람도리(wind****),5775421,wind****,바람도리,감각의 제국,"드라마,성인물(에로)",    감각의 제국....정말 감각적이다.     
19760001,2,hj(heid****),5062118,heid****,hj,감각의 제국,"드라마,성인물(에로)",    영화를 끝까지 보기가 힘들었다. 역겹고 불편하고 다 보고 난 뒤에도 찝찝하고 기분이 더럽다.     
19760001,8,19760001_32(dkvm****),15605,dkvm****,19760001_32,감각의 제국,"드라마,성인물(에로)",    사다라는 인물을 보여주기 위해서 정사장면은 불가피했구나.. 율리시스처럼.     
19760001,1,맛난감자(rd72****),5687548,rd72****,맛난감자,감각의 제국,"드라마,성인물(에로)","    파격도 극한까지 가면, 예술이 된다     "
19760001,5,소금소금(ia00****),5985599,ia00****,소금소금,감각의 제국,"드라마,성인물(에로)",    섹스신이 그렇게 많은데도 긴장되지 않고 기대되지 않고 야하지 않은 영화     
19760001,1,19760001_35(rame****),15606,rame****,19760001_35,감각의 제국,"드라마,성인물(에로)",    예상외로 대단히 따분했다     
19760001,10,19760001_36(onaw****),15607,onaw****,19760001_36,감각의 제국,"드라마,성인물(에로)",    부러울수도두려울수도애써외면할수도......     
19760001,2,지은(dksh****),6540165,dksh****,지은,감각의 제국,"드라마,성인물(에로)",    왠 신봉선과 바비킴이... 개역겨운 영호ㅓ     
19760001,10,제임스손(c_wa****),6487649,c_wa****,제임스손,감각의 제국,"드라마,성인물(에로)","    뭐야? 평점이 너무 낮잖아! 이 영화 명작이야! 에로틱, 스릴, 시대에 대한 풍자, 섹스에 대한 의미 등등 모든 것이 녹아 있는 영화! 이런 수작의 평점이 왜 이리 낮아?     "
19760001,7,시리우스(soqu****),6050375,soqu****,시리우스,감각의 제국,"드라마,성인물(에로)",    광기가 휘몰아치는 시대에서     
19760001,7,자존감코치(hero****),6427904,hero****,자존감코치,감각의 제국,"드라마,성인물(에로)",    사랑이라는 미명아래 그릇된 감정이 집착으로 변해 극단적으로 치닫은 케이스.     
19760001,1,네모(kpcc****),5491667,kpcc****,네모,감각의 제국,"드라마,성인물(에로)",    치다 지겨우니 별짓 다함     
19760001,9,사필귀정(hiss****),5932460,hiss****,사필귀정,감각의 제국,"드라마,성인물(에로)","    처음에 볼때는 여주인공 외모가 살짝 업그레이드된 모 개그우먼 생각나긴 하던데, 연출의 힘인지 연기의 힘인지 대단한 열연.  여운이 아주 길게 남는 영화.     "
19760001,10,생각(etgr****),5947230,etgr****,생각,감각의 제국,"드라마,성인물(에로)",    이게 그 유명한 감각의제국인가..포스터부터 쩜     
19760001,10,19760001_44(aest****),15609,aest****,19760001_44,감각의 제국,"드라마,성인물(에로)",    갈증과 니힐간의 관계에대해 이처럼처절하게 나를공감케한 영화는 다시볼수없을것이다     
19760001,8,19760001_45(shal****),15610,shal****,19760001_45,감각의 제국,"드라마,성인물(에로)",    사랑에 한계가 어디있을까... 오히려 솔직한 사랑처럼 보였다.     
19760001,5,19760001_46(wwwx****),15611,wwwx****,19760001_46,감각의 제국,"드라마,성인물(에로)",    너무 포르노 처럼 굴지마     
19760001,6,19760001_47(hyej****),15612,hyej****,19760001_47,감각의 제국,"드라마,성인물(에로)",    예술일까?     
19760001,1,소라(sinc****),5987698,sinc****,소라,감각의 제국,"드라마,성인물(에로)",   또라이년  사랑하는데 왜 죽여 사랑이 아니고 그냥 광적인 집착이지! 색에 빠져가지고 어휴... 도저히 이해 할 수 없었다!!!   이 영화를 본 내 시간이 아깝다  이걸 본 내가 원망스럽게 느껴진 영화 였다 으......   
19760001,7,레이나(cher****),5633311,cher****,레이나,감각의 제국,"드라마,성인물(에로)",    그들 방식 대로의 사랑... 이런 사랑도 있다     
19760001,6,19760001_50(gato****),15614,gato****,19760001_50,감각의 제국,"드라마,성인물(에로)","    아무 것도 할 수 없을 것만 같던 집착과 광기, 그 성적 탐닉의 공허함,     "
19760001,5,동건맘(daru****),5567477,daru****,동건맘,감각의 제국,"드라마,성인물(에로)",    오나미 닮은 여주인공에 끝으로 갈수록 불쾌했던 영화     
19760001,9,19760001_52(clef****),15615,clef****,19760001_52,감각의 제국,"드라마,성인물(에로)",    사랑과 애욕과 집착의 명작     
19760001,8,19760001_53(jihe****),15616,jihe****,19760001_53,감각의 제국,"드라마,성인물(에로)",    야한 장면이 이리 지겨워보기는 처음!     
19760001,8,19760001_54(xoru****),15617,xoru****,19760001_54,감각의 제국,"드라마,성인물(에로)",    사다를 이해할 수 있을것 같았다     
19760001,4,19760001_55(gust****),15618,gust****,19760001_55,감각의 제국,"드라마,성인물(에로)",    시간이 흐를수록 남자주인공 피골이 상접해지는 영화     
19760001,6,19760001_56(kis5****),15619,kis5****,19760001_56,감각의 제국,"드라마,성인물(에로)",    역시 일본은 대단하다... 유독 성적인 부분에서는 과감하게 표현하는듯...     
19760001,1,19760001_57(orga****),15620,orga****,19760001_57,감각의 제국,"드라마,성인물(에로)",    쪽바리 시키덜.... 하이튼 생각하는 거 하곤 굉장히 저질스럽네     
19760001,7,일귀하처(chso****),6409578,chso****,일귀하처,감각의 제국,"드라마,성인물(에로)","    욕망의 끝이 무엇인지 잘 보여주는 영화. 욕망은 욕망으로 채워지지 않는다. 돈, 술, 도박, 마약, 섹스, 인기, 권력 등에 탐닉할 때마다 파멸로 한걸음씩 다가가는 것이다.     "
19760001,8,장은숙(ftjk****),6439217,ftjk****,장은숙,감각의 제국,"드라마,성인물(에로)",    실화를 바탕으로 제작했다고 하니 살짝 소름~~     
19760001,1,요정이되고싶은애니(slig****),6250714,slig****,요정이되고싶은애니,감각의 제국,"드라마,성인물(에로)",    실화라니 더 끔찍하다.성에 탐닉한 자들의 최후     
19760001,5,렌(kyun****),5635899,kyun****,렌,감각의 제국,"드라마,성인물(에로)",    이게 실화냐? 실화맞네.     
19760001,5,포야와그래(hous****),6725839,hous****,포야와그래,감각의 제국,"드라마,성인물(에로)",    쾌락의 끝은 어디일까 고민하게 되는 작품이었다.     
19760001,8,19760001_63(qat3****),15621,qat3****,19760001_63,감각의 제국,"드라마,성인물(에로)",    둘 다 제정신이 아니라서 만들어진 결말. 70년대 영화라는거에 리스펙트하고 간다     
19760001,2,19760001_64(mool****),15622,mool****,19760001_64,감각의 제국,"드라마,성인물(에로)","    ..,,..,,..,,     "
